spray.date,first.spray.date,mildew.incidence,flagshoot,previous.flagshoot,disease.in.may,pruning,susceptibility.to.r6.Strains,susceptibility.to.nonr6.Strains,synthetic,nonsynthetic,year,group,mi,NonSynthetic,Synthetic,Mixture,Change
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0,0,0,0,2,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0.03,0,0,0,3,1,1,1,0,2014,Synthetic,1,0.222808093,0.509811668,0.267380239,NS
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0.01,0,0,0,3,1,1,1,0,2014,Synthetic,1,0.226655325,0.514089181,0.259255494,NS
155,119,0.01,0,0,0,3,1,1,1,0,2014,Synthetic,1,0.226655325,0.514089181,0.259255494,NS
155,119,0,0,0,0,5,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
148,81,0,0,0,0,5,1,1,1,0,2014,Synthetic,0,0.718932472,0.244336008,0.03673152,NS
156,133,0,0,0,0,2,1,1,1,0,2014,Synthetic,0,0.743622288,0.249479272,0.00689844,NS
155,133,0,0,0,0,1,0,0,1,0,2014,Synthetic,0,0.772309226,0.2112397,0.016451074,NS
155,132,0.01,0,0,0,3,1,1,1,0,2014,Synthetic,1,0.758539071,0.234726853,0.006734076,NS
154,127,0,0,0,0,1,1,1,1,0,2014,Synthetic,0,0.786644476,0.20652893,0.006826594,NS
154,132,0,0,0,0,1,0,0,1,0,2014,Synthetic,0,0.786731999,0.197610833,0.015657168,NS
154,132,0.01,0,0,0,4,1,1,1,0,2014,Synthetic,1,0.770600578,0.223117426,0.006281996,NS
154,132,0,0,0,0,1,1,1,1,0,2014,Synthetic,0,0.77146809,0.222391914,0.006139997,NS
155,134,0,0,0,0,1,0,0,1,0,2014,Synthetic,0,0.769458887,0.214431936,0.016109177,NS
157,65,0,0,0,0,3,1,1,1,0,2015,Synthetic,0,0.290569363,0.655543042,0.053887595,NS
149,89,0,0,0,0,5,1,1,1,0,2015,Synthetic,0,0.653586052,0.157042728,0.18937122,NS
180,155,0.01,0,0,0,2,1,1,1,0,2015,Synthetic,1,0.198284146,0.716102998,0.085612856,NS
180,156,0,0,0,0,3,1,1,1,0,2015,Synthetic,0,0.196932993,0.721477137,0.08158987,NS
138,90,0,0,0,0,2,1,1,1,0,2015,Synthetic,0,0.813941415,0.181684059,0.004374526,NS
138,89,0,0,0,0,3,1,1,1,0,2015,Synthetic,0,0.816627234,0.178907197,0.004465569,NS
138,89,0,0,0,0,3,1,1,1,0,2015,Synthetic,0,0.816627234,0.178907197,0.004465569,NS
138,89,0,0,0,0,5,0,0,1,0,2015,Synthetic,0,0.83017492,0.158473434,0.011351645,NS
140,86,0,0,0,0,5,0,0,1,0,2015,Synthetic,0,0.817505686,0.168530995,0.013963319,NS
138,89,0,0,0,0,2,0,0,1,0,2015,Synthetic,0,0.83017492,0.158473434,0.011351645,NS
180,121,0,0,0,0,3,1,1,1,0,2015,Synthetic,0,0.437363201,0.377400131,0.185236667,NS
127,106,0,0,0,0,5,0,0,1,0,2016,Synthetic,0,0.812550132,0.141005668,0.0464442,NS
160,106,0,0,0,0,5,0,0,1,0,2016,Synthetic,0,0.284847673,0.443670813,0.271481513,NS
143,109,0,0,0,0,1,1,1,1,0,2016,Synthetic,0,0.890840239,0.064879657,0.044280104,NS
144,118,0,0,0,0,3,0,0,1,0,2017,Synthetic,0,0.705036238,0.217020093,0.077943669,NS
170,157,0,0,0,0,1,1,1,1,0,2017,Synthetic,0,0.633481209,0.167806307,0.198712483,NS
172,123,0,0,0,0,3,0,0,1,0,2017,Synthetic,0,0.579272865,0.276401554,0.144325581,NS
171,119,0,0,0,0,1,1,1,1,0,2017,Synthetic,0,0.635521038,0.302165416,0.062313546,NS
171,121,0,0,0,0,3,1,1,1,0,2017,Synthetic,0,0.629607127,0.310759139,0.059633734,NS
171,119,0.005,0,0,0,3,1,1,1,0,2017,Synthetic,1,0.634623236,0.3024004,0.062976364,NS
171,121,0.01,0,0,0,1,1,1,1,0,2017,Synthetic,1,0.627841256,0.311248496,0.060910248,NS
171,123,0,0,0,0,2,0,0,1,0,2017,Synthetic,0,0.596929617,0.266501565,0.136568818,NS
170,115,0,0,0,0,2,0,0,1,0,2017,Synthetic,0,0.624619008,0.224674284,0.150706708,NS
175,123,0,0,0,0,3,0,0,1,0,2017,Synthetic,0,0.525132398,0.305891978,0.168975623,NS
